Epoch,Step Avg Time,Overall Step Time,# Calls,Epoch Time,Training Loss,Validation Loss,Validation Accuracy
1,4.4760072120666505,2797.5045075416565,625,37.30920124053955,4.0284263710021975,3.5785037757484774,16.56
2,4.179773030090332,2612.3581438064575,625,35.95791292190552,3.4468461170196534,3.211848029665127,23.01
3,4.1798254539489745,2612.390908718109,625,35.95678925514221,3.1156610260009767,2.951833204099327,27.01
4,4.179446984863281,2612.154365539551,625,35.95571494102478,2.856894931793213,2.724179857096095,30.93
5,4.177772517395019,2611.107823371887,625,35.94758677482605,2.6637054149627684,2.583371516245945,33.88
6,4.174756211853027,2609.222632408142,625,35.89836239814758,2.4918432483673096,2.4920747674954167,35.52
7,4.175072421264648,2609.4202632904053,625,35.92158269882202,2.3567616765975954,2.368566926117915,38.94
8,4.174769319152832,2609.23082447052,625,35.91226029396057,2.21947202167511,2.2846459962759806,40.4
9,4.175187108612061,2609.491942882538,625,35.93478083610535,2.101011405754089,2.2481120262935663,41.33
10,4.174897113800049,2609.3106961250305,625,35.90358257293701,1.9911159912109375,2.162401785516435,43.37
11,4.175044578552246,2609.402861595154,625,35.93270301818848,1.8898600818634033,2.112327828528775,44.71
12,4.174988867950439,2609.3680424690247,625,35.90618300437927,1.7816146604537964,2.074676128709392,45.45
13,4.1749888664245605,2609.3680415153503,625,35.91770887374878,1.6815078449249268,2.0367927027356094,46.78
14,4.1750756980896,2609.4223113059998,625,35.913145542144775,1.5908579902648925,2.0297443221329123,46.64
15,4.1750527633667,2609.407977104187,625,35.91899299621582,1.4991200103759765,1.9905830424302702,48.09
16,4.175247731018066,2609.5298318862915,625,36.0719268321991,1.4004048888206482,1.9788504778199894,48.7
17,4.180025309753418,2612.5158185958862,625,36.08517813682556,1.3190576760292054,1.9737761962186,49.13
18,4.174921697235107,2609.326060771942,625,35.94379281997681,1.232293749332428,1.9772791482840375,49.28
19,4.174623491668701,2609.1396822929382,625,35.93875813484192,1.1475293383598328,1.9721180845977395,50.47
20,4.175147792053223,2609.467370033264,625,35.92258620262146,1.070127820968628,2.0026750473459813,50.41
21,4.174900390625,2609.312744140625,625,35.93824577331543,0.9946154488563538,2.0166018328089623,50.2
22,4.174942991638184,2609.3393697738647,625,35.91888093948364,0.9167658395767212,2.052607414828744,50.32
23,4.174813557434082,2609.2584733963013,625,35.91755151748657,0.8471936809539795,2.0745240768809228,50.64
24,4.174985581970215,2609.3659887313843,625,35.9470534324646,0.7708336097717285,2.0906714193380562,51.2
25,4.174910228729248,2609.31889295578,625,35.93552899360657,0.7132725699424743,2.1417643583504256,50.41
26,4.174961010742187,2609.350631713867,625,35.9096565246582,0.6485347849369049,2.1731576972706304,51.02
27,4.174716887664795,2609.198054790497,625,35.942790508270264,0.587205688381195,2.2152218196042783,51.39
28,4.174728353881836,2609.2052211761475,625,35.935415506362915,0.5380117610454559,2.249109177073096,51.39
29,4.175208415985107,2609.505259990692,625,35.935935974121094,0.49157575645446777,2.290221905252736,50.76
30,4.175024909210205,2609.390568256378,625,35.92475485801697,0.4413863157749176,2.3366244795975413,51.12
31,4.17539190826416,2609.6199426651,625,36.19952917098999,0.40556538281440735,2.373877497235681,50.79
32,4.174831572723389,2609.269732952118,625,35.937525272369385,0.3797203221797943,2.4234912585301003,51.15
Total time:,1244.483166,,,,,,
Total Accuracy:,51.81,,,,,,
