# gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
# Idx      %      %      %      %      %      %     MB     MB     MB 
    0      0      0      0      0      0      0    192      5      0 
    0     78     35      0      0      0      0   1770      5      0 
    0     96     28      0      0      0      0   1850      5      0 
    0     97     27      0      0      0      0   1850      5      0 
    0     97     39      0      0      0      0   1850      5      0 
    0     97     48      0      0      0      0   1850      5      0 
    0    100     42      0      0      0      0   1850      5      0 
    0     99     34      0      0      0      0   1850      5      0 
    0     96     27      0      0      0      0   1850      5      0 
    0     93     25      0      0      0      0   1850      5      0 
    0     94     26      0      0      0      0   1850      5      0 
    0     96     34      0      0      0      0   1850      5      0 
    0     97     42      0      0      0      0   1850      5      0 
    0     98     49      0      0      0      0   1850      5      0 
    0    100     41      0      0      0      0   1850      5      0 
    0    100     37      0      0      0      0   1850      5      0 
    0     99     31      0      0      0      0   1850      5      0 
    0     99     28      0      0      0      0   1850      5      0 
    0     96     26      0      0      0      0   1850      5      0 
    0     96     26      0      0      0      0   1850      5      0 
    0     97     25      0      0      0      0   1850      5      0 
    0     96     26      0      0      0      0   1850      5      0 
    0     93     23      0      0      0      0   1850      5      0 
    0     95     25      0      0      0      0   1850      5      0 
    0     95     25      0      0      0      0   1850      5      0 
    0     97     29      0      0      0      0   1850      5      0 
    0     96     31      0      0      0      0   1850      5      0 
    0     97     33      0      0      0      0   1850      5      0 
    0     96     34      0      0      0      0   1850      5      0 
    0     96     34      0      0      0      0   1850      5      0 
    0     96     33      0      0      0      0   1850      5      0 
    0     97     33      0      0      0      0   1850      5      0 
    0     97     34      0      0      0      0   1850      5      0 
    0     97     33      0      0      0      0   1850      5      0 
    0     96     32      0      0      0      0   1850      5      0 
    0     94     27      0      0      0      0   1850      5      0 
    0     94     23      0      0      0      0   1850      5      0 
    0     93     23      0      0      0      0   1850      5      0 
    0     94     24      0      0      0      0   1850      5      0 
    0     96     25      0      0      0      0   1850      5      0 
    0     96     25      0      0      0      0   1850      5      0 
    0     96     26      0      0      0      0   1850      5      0 
    0     97     25      0      0      0      0   1850      5      0 
    0     97     26      0      0      0      0   1850      5      0 
# gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
# Idx      %      %      %      %      %      %     MB     MB     MB 
    0     96     25      0      0      0      0   1850      5      0 
    0     97     26      0      0      0      0   1850      5      0 
    0     97     26      0      0      0      0   1850      5      0 
    0     97     27      0      0      0      0   1850      5      0 
    0     94     25      0      0      0      0   1850      5      0 
    0     96     26      0      0      0      0   1850      5      0 
    0     94     24      0      0      0      0   1850      5      0 
    0     93     25      0      0      0      0   1850      5      0 
    0     96     25      0      0      0      0   1850      5      0 
    0     96     24      0      0      0      0   1850      5      0 
    0     97     29      0      0      0      0   1850      5      0 
    0     97     35      0      0      0      0   1850      5      0 
    0     97     40      0      0      0      0   1850      5      0 
    0     96     45      0      0      0      0   1850      5      0 
    0    100     49      0      0      0      0   1850      5      0 
    0    100     49      0      0      0      0   1850      5      0 
    0    100     50      0      0      0      0   1850      5      0 
    0     99     40      0      0      0      0   1850      5      0 
    0     99     36      0      0      0      0   1850      5      0 
    0     99     33      0      0      0      0   1850      5      0 
    0    100     30      0      0      0      0   1850      5      0 
    0     96     27      0      0      0      0   1850      5      0 
    0     97     26      0      0      0      0   1850      5      0 
    0     97     27      0      0      0      0   1850      5      0 
    0     97     35      0      0      0      0   1850      5      0 
    0     97     43      0      0      0      0   1850      5      0 
    0     99     49      0      0      0      0   1850      5      0 
    0    100     40      0      0      0      0   1850      5      0 
    0    100     34      0      0      0      0   1850      5      0 
    0     97     35      0      0      0      0   1850      5      0 
    0     97     27      0      0      0      0   1850      5      0 
    0     94     26      0      0      0      0   1850      5      0 
    0     94     28      0      0      0      0   1850      5      0 
    0     95     37      0      0      0      0   1850      5      0 
    0     94     43      0      0      0      0   1850      5      0 
    0    100     50      0      0      0      0   1850      5      0 
    0     96     26      0      0      0      0   1850      5      0 
    0     97     27      0      0      0      0   1850      5      0 
    0     96     34      0      0      0      0   1850      5      0 
    0     97     43      0      0      0      0   1850      5      0 
    0     98     49      0      0      0      0   1850      5      0 
    0    100     42      0      0      0      0   1850      5      0 
    0    100     36      0      0      0      0   1850      5      0 
    0     99     29      0      0      0      0   1850      5      0 
# gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
# Idx      %      %      %      %      %      %     MB     MB     MB 
    0     96     27      0      0      0      0   1850      5      0 
    0     94     25      0      0      0      0   1850      5      0 
    0     95     24      0      0      0      0   1850      5      0 
    0     93     32      0      0      0      0   1850      5      0 
    0     97     40      0      0      0      0   1850      5      0 
    0     97     46      0      0      0      0   1850      5      0 
    0    100     48      0      0      0      0   1850      5      0 
    0    100     40      0      0      0      0   1850      5      0 
    0    100     34      0      0      0      0   1850      5      0 
    0    100     28      0      0      0      0   1850      5      0 
    0     96     27      0      0      0      0   1850      5      0 
    0     96     26      0      0      0      0   1850      5      0 
    0     97     26      0      0      0      0   1850      5      0 
    0     97     34      0      0      0      0   1850      5      0 
    0     93     38      0      0      0      0   1850      5      0 
    0     95     41      0      0      0      0   1850      5      0 
    0     94     43      0      0      0      0   1850      5      0 
    0     95     46      0      0      0      0   1850      5      0 
    0    100     48      0      0      0      0   1850      5      0 
    0    100     41      0      0      0      0   1850      5      0 
    0    100     38      0      0      0      0   1850      5      0 
    0    100     34      0      0      0      0   1850      5      0 
    0    100     31      0      0      0      0   1850      5      0 
    0     96     27      0      0      0      0   1850      5      0 
    0     97     26      0      0      0      0   1850      5      0 
    0     96     25      0      0      0      0   1850      5      0 
    0     97     25      0      0      0      0   1850      5      0 
    0     94     26      0      0      0      0   1850      5      0 
    0     95     29      0      0      0      0   1850      5      0 
    0     95     33      0      0      0      0   1850      5      0 
    0     95     36      0      0      0      0   1850      5      0 
    0     97     41      0      0      0      0   1850      5      0 
    0     97     45      0      0      0      0   1850      5      0 
    0     97     48      0      0      0      0   1850      5      0 
    0    100     47      0      0      0      0   1850      5      0 
    0    100     43      0      0      0      0   1850      5      0 
    0    100     39      0      0      0      0   1850      5      0 
    0    100     36      0      0      0      0   1850      5      0 
    0    100     33      0      0      0      0   1850      5      0 
    0    100     30      0      0      0      0   1850      5      0 
    0     99     28      0      0      0      0   1850      5      0 
    0     93     25      0      0      0      0   1850      5      0 
    0     95     25      0      0      0      0   1850      5      0 
    0     94     25      0      0      0      0   1850      5      0 
# gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
# Idx      %      %      %      %      %      %     MB     MB     MB 
    0     96     27      0      0      0      0   1850      5      0 
    0     96     26      0      0      0      0   1850      5      0 
    0     96     26      0      0      0      0   1850      5      0 
    0     97     30      0      0      0      0   1850      5      0 
    0     97     36      0      0      0      0   1850      5      0 
    0    100     36      0      0      0      0   1850      5      0 
    0    100     32      0      0      0      0   1850      5      0 
    0    100     29      0      0      0      0   1850      5      0 
    0     97     26      0      0      0      0   1850      5      0 
    0     96     26      0      0      0      0   1850      5      0 
    0     94     24      0      0      0      0   1850      5      0 
    0     95     24      0      0      0      0   1850      5      0 
    0     94     25      0      0      0      0   1850      5      0 
    0     93     28      0      0      0      0   1850      5      0 
    0     97     34      0      0      0      0   1850      5      0 
    0     97     38      0      0      0      0   1850      5      0 
    0     97     44      0      0      0      0   1850      5      0 
    0     97     48      0      0      0      0   1850      5      0 
    0    100     44      0      0      0      0   1850      5      0 
    0    100     38      0      0      0      0   1850      5      0 
    0    100     34      0      0      0      0   1850      5      0 
    0    100     30      0      0      0      0   1850      5      0 
